episode,Episode_reward,Loss
0,17.0,inf
5,23.0,1.3857693672180176
10,13.0,0.5625530481338501
15,12.0,0.4575069546699524
20,105.0,0.14294742047786713
25,153.0,0.9857871532440186
30,200.0,0.05176527425646782
35,200.0,0.02062554657459259
40,200.0,0.021382205188274384
45,176.0,0.04741410166025162
50,200.0,0.052120476961135864
55,200.0,0.02209819108247757
60,200.0,0.03015795350074768
65,200.0,0.0186900831758976
70,200.0,0.016093112528324127
75,200.0,0.0548442043364048
80,103.0,0.013820072636008263
85,200.0,0.025410305708646774
90,200.0,0.030780920758843422
95,200.0,0.049964383244514465
100,200.0,0.07723768055438995
105,200.0,0.020967040210962296
110,142.0,0.021721111610531807
115,154.0,0.021428346633911133
120,200.0,0.03102532960474491
125,189.0,0.023269973695278168
130,173.0,5.10546875
135,200.0,0.008875275030732155
140,200.0,0.03346463292837143
145,200.0,0.015413264743983746
150,200.0,0.01587187498807907
155,200.0,0.04979390278458595
160,200.0,0.02665332704782486
165,184.0,0.012092103250324726
170,200.0,0.01967192068696022
175,200.0,0.01079618465155363
180,200.0,0.008316567167639732
185,200.0,0.026796024292707443
190,200.0,0.06404279917478561
195,200.0,0.042916297912597656
200,200.0,0.03813379630446434
205,200.0,0.08229249715805054
210,200.0,0.009235689416527748
215,200.0,0.020547740161418915
220,200.0,0.009924491867423058
225,197.0,0.036509234458208084
230,188.0,0.019323408603668213
235,178.0,0.3781539499759674
240,200.0,0.021858349442481995
245,199.0,0.01723284274339676
250,200.0,0.016966737806797028
255,200.0,0.04476073011755943
260,200.0,0.022244933992624283
265,200.0,0.014243519864976406
270,200.0,0.011235559359192848
275,188.0,0.03262460604310036
280,200.0,0.022413089871406555
285,177.0,0.03816460818052292
290,200.0,0.04022480174899101
295,200.0,0.0511426106095314
